*Data, in the order it appears: monster index(also called txtrIndex),name,health,defense,attack,crit,level,strength,dex,magic,xp drop,isboss,weapon index,armor index (14 fields)
0,Devil Scorpion,20,6,15,0.0,1,1,1,1,1,0,0,1
1,Wyvern Chick,10,2,10,0.0,1,1,1,1,1,0,0,1
2,Boss 1,35,5,5,50.0,1,1,1,1,1,1,0,1
3,Mauler,20,3,12,15.0,1,1,1,1,1,0,0,1
4,Goblin,50,0,13,0.0,1,1,1,1,1,0,0,1
5,Nightmare,15,2,15,0.0,1,1,1,1,1,0,0,1
6,Tornado Lizard,30,0,10,30.0,1,1,1,1,1,0,0,1
7,Ant Lion,10,8,12,0.2,3,6,3,0,8,0,0,1
8,Bone Fighter,30,10,15,30.0,1,3,1,0,1,0,0,1
9,Boss 2,50,5,20,0.0,4,4,1,1,12,1,0,1
10,Foul Mummy,20,5,20,0.0,2,4,0,0,3,0,0,1
11,Living Armor,20,15,17,0.0,3,3,1,1,9,0,0,1
12,Sentinel,15,10,10,0.0,4,2,2,2,6,0,0,1
13,Zombie,40,0,15,0.0,1,1,0,0,1,0,0,1
14,Boss 3,100,0,20,0.0,1,3,1,0,1,1,0,1
15,Deadbeard,40,15,20,0.0,1,3,1,0,0,1
16,Hummer,35,0,20,0.0,2,4,0,0,3,0,0,1
17,Lich,20,10,20,0.0,3,6,3,0,8,0,0,1
18,Satrage,20,10,15,15.0,1,3,1,0,1,0,0,1
19,Tiamat,100,0,20,0.0,2,4,0,0,3,0,0,1
20,White Knight,30,7,15,20.00,4,2,2,2,6,0,0,1
* End File
